epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8238,3.17346,2.74215,1.0949,0.30754,0.00574,0.00772,0.00345,2.98749,2.43002,1.09494,5.16579e-05,5.16579e-05,5.16579e-05
2,89.7376,3.21513,2.67295,1.08846,0.26169,0.00602,0.00879,0.0036,2.96592,2.44325,1.09564,0.000100237,0.000100237,0.000100237
3,133.788,3.1794,2.58616,1.09286,0.21037,0.00606,0.00921,0.00398,2.96873,2.23757,1.08932,0.000145384,0.000145384,0.000145384
4,177.39,3.15161,2.43082,1.0925,0.26176,0.00574,0.00896,0.00389,3.03717,2.40932,1.09761,0.000140556,0.000140556,0.000140556
5,220.829,3.16247,2.40169,1.08505,0.26116,0.00657,0.00938,0.00414,2.9524,2.25396,1.0841,0.000135408,0.000135408,0.000135408
6,263.348,3.07424,2.33023,1.08376,0.26032,0.00667,0.00919,0.00416,2.98096,2.198,1.08584,0.00013026,0.00013026,0.00013026
7,306.703,3.14716,2.35948,1.08282,0.22438,0.00666,0.00909,0.00407,2.99294,2.22149,1.0935,0.000125112,0.000125112,0.000125112
8,349.414,3.04392,2.25815,1.07611,0.27581,0.00809,0.01035,0.00474,2.89166,2.04585,1.08032,0.000119964,0.000119964,0.000119964
9,392.229,3.0746,2.25866,1.07931,0.25868,0.00727,0.00972,0.00425,2.89381,1.98575,1.07632,0.000114816,0.000114816,0.000114816
10,434.839,3.04245,2.17121,1.07609,0.29346,0.00785,0.00992,0.00444,2.87363,2.02207,1.08518,0.000109668,0.000109668,0.000109668
11,477.498,3.04134,2.17609,1.077,0.27709,0.00809,0.01076,0.00479,2.86968,2.07653,1.0732,0.00010452,0.00010452,0.00010452
12,519.279,3.01846,2.13118,1.0769,0.29555,0.0084,0.01051,0.00472,2.86794,2.07485,1.08076,9.9372e-05,9.9372e-05,9.9372e-05
13,561.848,3.02857,2.0816,1.06897,0.29607,0.00904,0.01272,0.006,2.8683,2.0285,1.07161,9.4224e-05,9.4224e-05,9.4224e-05
14,605.038,3.01557,2.07913,1.06497,0.27714,0.00999,0.01146,0.00518,2.85232,1.98571,1.06886,8.9076e-05,8.9076e-05,8.9076e-05
15,647.739,2.96279,2.0583,1.07264,0.29511,0.00881,0.01295,0.00644,2.83744,1.93139,1.07237,8.3928e-05,8.3928e-05,8.3928e-05
16,690.225,2.95721,2.0107,1.06801,0.01397,0.01508,0.01417,0.00685,2.84074,1.8924,1.06661,7.878e-05,7.878e-05,7.878e-05
17,733.012,2.99672,1.99877,1.05662,0.01514,0.01561,0.0156,0.00798,2.82088,1.83418,1.06445,7.3632e-05,7.3632e-05,7.3632e-05
18,776.1,2.99873,2.16119,1.06353,0.01367,0.01532,0.01558,0.00792,2.82044,1.88008,1.06924,6.8484e-05,6.8484e-05,6.8484e-05
19,818.796,2.94447,2.00315,1.06214,0.27809,0.0088,0.01579,0.00819,2.82701,1.9156,1.067,6.3336e-05,6.3336e-05,6.3336e-05
20,861.537,2.94867,1.99799,1.05397,0.26261,0.00937,0.01588,0.00759,2.81612,1.81764,1.06092,5.8188e-05,5.8188e-05,5.8188e-05
21,905.014,2.89325,2.31381,1.0641,0.22454,0.00973,0.01558,0.00748,2.82114,1.8053,1.06162,5.304e-05,5.304e-05,5.304e-05
22,946.619,2.89756,2.16532,1.06903,0.01161,0.01588,0.01414,0.00719,2.77068,1.7649,1.07026,4.7892e-05,4.7892e-05,4.7892e-05
23,987.783,2.89219,2.11772,1.0656,0.27872,0.00883,0.01449,0.00723,2.79184,1.76647,1.05699,4.2744e-05,4.2744e-05,4.2744e-05
24,1029.42,2.86756,2.10615,1.07514,0.25698,0.00931,0.01521,0.00749,2.78696,1.78826,1.05824,3.7596e-05,3.7596e-05,3.7596e-05
25,1071.04,2.85385,2.18328,1.068,0.25832,0.00993,0.01484,0.00698,2.77894,1.79407,1.05803,3.2448e-05,3.2448e-05,3.2448e-05
26,1112.4,2.81608,2.42366,1.06161,0.26005,0.00889,0.0145,0.00718,2.7804,1.76065,1.05706,2.73e-05,2.73e-05,2.73e-05
27,1153.93,2.85851,2.26954,1.07798,0.01068,0.015,0.01421,0.00687,2.77487,1.80099,1.05964,2.2152e-05,2.2152e-05,2.2152e-05
28,1196.05,2.84964,2.12956,1.0652,0.0108,0.01497,0.01421,0.00708,2.79099,1.75501,1.06046,1.7004e-05,1.7004e-05,1.7004e-05
29,1237.05,2.85366,2.20525,1.06462,0.01082,0.01515,0.01424,0.00712,2.79049,1.79288,1.05938,1.1856e-05,1.1856e-05,1.1856e-05
30,1278.22,2.78057,2.13058,1.06985,0.01038,0.01514,0.0139,0.00694,2.75937,1.7636,1.06229,6.708e-06,6.708e-06,6.708e-06
