epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8164,2.86018,1.77962,1.04348,0.16871,0.01663,0.01463,0.00706,2.73765,1.63436,1.05091,5.16579e-05,5.16579e-05,5.16579e-05
2,90.0072,2.88352,1.80309,1.04102,0.16089,0.01685,0.01529,0.00637,2.72203,1.6809,1.07518,9.85268e-05,9.85268e-05,9.85268e-05
3,132.191,2.85862,1.78861,1.0487,0.16026,0.01388,0.014,0.00681,2.83344,1.72853,1.0498,0.000140248,0.000140248,0.000140248
4,174.211,2.84799,1.72086,1.04693,0.18852,0.01865,0.01761,0.00844,2.73272,1.63213,1.04983,0.000132834,0.000132834,0.000132834
5,216.412,2.86914,1.75108,1.04567,0.20103,0.01578,0.01482,0.00701,2.75328,1.69516,1.05601,0.000125112,0.000125112,0.000125112
6,258.048,2.7855,1.71753,1.04777,0.17777,0.01459,0.01464,0.00669,2.71936,1.68938,1.0623,0.00011739,0.00011739,0.00011739
7,300.322,2.8797,1.77283,1.04793,0.18091,0.01501,0.01486,0.00665,2.7281,1.66849,1.05322,0.000109668,0.000109668,0.000109668
8,342.234,2.77334,1.72944,1.04167,0.2004,0.01621,0.01459,0.00653,2.73623,1.65276,1.05575,0.000101946,0.000101946,0.000101946
9,383.872,2.80277,1.74393,1.04574,0.20497,0.01596,0.01648,0.0072,2.716,1.62247,1.04784,9.4224e-05,9.4224e-05,9.4224e-05
10,425.607,2.78117,1.70261,1.04476,0.22934,0.01502,0.01589,0.00742,2.68577,1.61038,1.05182,8.6502e-05,8.6502e-05,8.6502e-05
11,467.451,2.76782,2.00414,1.0633,0.19799,0.0135,0.01477,0.00742,2.72512,1.66501,1.05557,7.878e-05,7.878e-05,7.878e-05
12,508.146,2.77766,1.98779,1.06065,0.2048,0.01376,0.01569,0.00718,2.76301,1.67583,1.05599,7.1058e-05,7.1058e-05,7.1058e-05
13,548.017,2.70607,1.88829,1.06692,0.20146,0.01664,0.01444,0.00661,2.69087,1.61658,1.04805,6.3336e-05,6.3336e-05,6.3336e-05
14,588.808,2.73922,1.97591,1.05703,0.18044,0.01299,0.01336,0.00644,2.69107,1.63872,1.04825,5.5614e-05,5.5614e-05,5.5614e-05
15,628.656,2.76497,1.91834,1.05627,0.19762,0.01485,0.01608,0.00752,2.70989,1.61779,1.05027,4.7892e-05,4.7892e-05,4.7892e-05
16,668.735,2.71566,1.96841,1.05788,0.22814,0.01328,0.01471,0.0069,2.68494,1.62687,1.04922,4.017e-05,4.017e-05,4.017e-05
17,708.568,2.7381,1.98014,1.05328,0.20312,0.01791,0.01633,0.00719,2.68419,1.61695,1.05195,3.2448e-05,3.2448e-05,3.2448e-05
18,748.639,2.71628,1.82168,1.05472,0.20976,0.01729,0.01694,0.00766,2.69595,1.63546,1.05127,2.4726e-05,2.4726e-05,2.4726e-05
19,789.198,2.73371,1.81266,1.04446,0.20549,0.01771,0.01722,0.00774,2.66073,1.58772,1.05149,1.7004e-05,1.7004e-05,1.7004e-05
20,829.381,2.69031,1.87821,1.0624,0.20651,0.01791,0.01704,0.00788,2.67581,1.64189,1.04927,9.282e-06,9.282e-06,9.282e-06
